,True Label,Predicted_average
0,methods,methods
1,results,results
2,objective,objective
3,conclusions,conclusions
4,methods,results
5,conclusions,conclusions
6,conclusions,conclusions
7,methods,methods
8,conclusions,conclusions
9,methods,methods
10,methods,methods
11,methods,methods
12,conclusions,conclusions
13,methods,methods
14,background,background
15,conclusions,conclusions
16,methods,methods
17,methods,methods
18,conclusions,conclusions
19,methods,methods
20,methods,methods
21,methods,background
22,results,results
23,methods,methods
24,objective,objective
25,background,background
26,objective,background
27,methods,methods
28,conclusions,conclusions
29,objective,objective
30,background,background
31,methods,results
32,methods,results
33,results,conclusions
34,objective,objective
35,methods,methods
36,objective,objective
37,methods,methods
38,methods,methods
39,methods,methods
40,results,background
41,methods,methods
42,conclusions,conclusions
43,methods,methods
44,methods,methods
45,conclusions,conclusions
46,methods,methods
47,results,results
48,methods,results
49,methods,methods
50,objective,objective
51,methods,methods
52,conclusions,conclusions
53,conclusions,conclusions
54,methods,methods
55,objective,objective
56,conclusions,conclusions
57,conclusions,conclusions
58,objective,objective
59,methods,methods
60,methods,methods
61,methods,methods
62,results,results
63,methods,methods
64,objective,background
65,objective,methods
66,results,results
67,objective,conclusions
68,conclusions,conclusions
69,objective,objective
70,methods,methods
71,background,background
72,methods,methods
73,results,results
74,methods,methods
75,methods,methods
76,results,results
77,conclusions,conclusions
78,methods,methods
79,methods,methods
80,methods,methods
81,methods,methods
82,results,results
83,conclusions,conclusions
84,methods,methods
85,methods,methods
86,methods,methods
87,conclusions,conclusions
88,objective,objective
89,conclusions,conclusions
90,background,background
91,conclusions,conclusions
92,background,background
93,methods,methods
94,methods,methods
95,conclusions,conclusions
96,methods,results
97,objective,objective
98,methods,methods
99,methods,methods
100,background,background
101,results,results
102,objective,objective
103,conclusions,conclusions
104,objective,objective
105,methods,methods
106,results,results
107,methods,methods
108,conclusions,conclusions
109,methods,methods
110,methods,methods
111,results,results
112,methods,methods
113,methods,methods
114,methods,methods
115,methods,methods
116,background,background
117,methods,methods
118,results,methods
119,conclusions,conclusions
120,methods,methods
121,results,results
122,objective,objective
123,methods,conclusions
124,methods,methods
125,methods,methods
126,results,results
127,methods,methods
128,methods,methods
129,objective,objective
130,objective,objective
131,methods,methods
132,methods,methods
133,objective,objective
134,objective,objective
135,methods,methods
136,objective,objective
137,objective,methods
138,methods,methods
139,methods,methods
140,methods,methods
141,objective,objective
142,methods,methods
143,methods,methods
144,methods,methods
145,methods,methods
146,objective,objective
147,background,background
148,methods,methods
149,objective,objective
150,methods,methods
151,methods,methods
152,conclusions,conclusions
153,methods,methods
154,methods,methods
155,methods,methods
156,conclusions,conclusions
157,conclusions,conclusions
158,results,methods
159,results,results
160,methods,methods
161,objective,objective
162,conclusions,conclusions
163,results,results
164,methods,methods
165,conclusions,conclusions
166,methods,methods
167,methods,methods
168,background,methods
169,background,background
170,methods,methods
171,methods,methods
172,conclusions,conclusions
173,methods,methods
174,methods,methods
175,objective,objective
176,methods,methods
177,results,results
178,methods,methods
179,background,background
180,methods,methods
181,conclusions,conclusions
182,results,results
183,methods,methods
184,results,results
185,results,results
186,objective,objective
187,methods,methods
188,methods,methods
189,objective,objective
190,background,background
191,objective,objective
192,conclusions,conclusions
193,methods,methods
194,background,background
195,objective,objective
196,methods,methods
197,methods,methods
198,methods,methods
199,objective,objective
200,methods,methods
201,methods,methods
202,background,background
203,methods,methods
204,methods,methods
205,conclusions,conclusions
206,methods,methods
207,conclusions,conclusions
208,background,background
209,methods,methods
210,results,methods
211,methods,methods
212,methods,methods
213,objective,objective
214,results,results
215,conclusions,conclusions
216,methods,methods
217,conclusions,conclusions
218,methods,methods
219,background,background
220,objective,objective
221,results,methods
222,methods,methods
223,conclusions,background
224,methods,methods
225,methods,methods
226,methods,methods
227,methods,methods
228,background,background
229,methods,methods
230,objective,objective
231,methods,methods
232,objective,objective
233,background,background
234,objective,objective
235,methods,methods
236,objective,objective
237,conclusions,conclusions
238,methods,methods
239,methods,methods
240,objective,objective
241,conclusions,conclusions
242,conclusions,conclusions
243,results,methods
244,methods,methods
245,objective,objective
246,methods,methods
247,methods,results
248,methods,methods
249,methods,methods
250,conclusions,conclusions
251,methods,methods
252,methods,conclusions
253,objective,objective
254,methods,methods
255,results,results
256,methods,methods
257,methods,methods
258,methods,methods
259,conclusions,conclusions
260,methods,methods
261,methods,methods
262,methods,methods
263,methods,methods
264,methods,methods
265,objective,objective
266,objective,objective
267,objective,objective
268,conclusions,conclusions
269,methods,conclusions
270,conclusions,conclusions
271,conclusions,conclusions
272,methods,methods
273,methods,methods
274,methods,methods
275,background,objective
276,objective,objective
277,conclusions,conclusions
278,objective,objective
279,methods,methods
280,objective,background
281,objective,objective
282,methods,methods
283,methods,methods
284,methods,methods
285,methods,methods
286,methods,methods
287,conclusions,conclusions
288,results,results
289,conclusions,conclusions
290,methods,methods
291,methods,methods
292,methods,methods
293,methods,methods
294,results,results
295,methods,methods
296,background,background
297,results,results
298,methods,objective
299,objective,objective
300,conclusions,conclusions
301,objective,objective
302,background,background
303,methods,methods
